Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-038257,Axis Health System - Norwood,1605 Grand Ave,Norwood,CO,81423-5244,970-252-3200,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/14/2024,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-108.2893798,38.13078117,N,N,8113,San Miguel County,San Miguel,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-031019,Valley-Wide Buena Vista,707 US Highway 24 N,Buena Vista,CO,81211-9863,719-589-3658,,44,7,All Other Clinic Types,1,Active,61017,1972111953,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/15/2020,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-106.1356888,38.84718792,N,N,8015,Chaffee County,Chaffee,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-009521,Mobile Health Services Van 1,2510 E Platte Pl,Colorado Springs,CO,80909-6134,719-632-5700,www.peakvista.org,40,7,All Other Clinic Types,1,Active,61909,1285964262,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,6/16/2010,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7810057,38.83683336,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-027328,Valley-Wide Hunt Street Alamosa,602 Hunt Ave,Alamosa,CO,81101-2680,719-589-3658,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,1/23/2019,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.8637825,37.46674999,N,N,8003,Alamosa County,Alamosa,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-012373,"Enrollment Services at Academy, Suite 1500",3207 N Academy Blvd,Colorado Springs,CO,80917-5100,719-632-5700,www.peakvista.org,40,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,2/22/2013,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7569725,38.878488,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-008441,Clinica Family Health - People's,2525 13th St,Boulder,CO,80304-4104,303-449-6050,clinica.org,49,7,All Other Clinic Types,1,Active,61836,1184613234,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,5/18/2009,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.280581,40.02397385,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-033568,South Conejos School District,13099 County Road G,Antonito,CO,81120,719-376-7000,,32,2,School,1,Active,,1104557776,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/25/2021,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-106.0161172,37.07917654,N,N,8021,Conejos County,Conejos,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-003646,Moffat Family Health Center,545 Moffat Way,Moffat,CO,81143-5028,719-256-4025,www.vwhs.org,16.5,7,All Other Clinic Types,1,Active,61853,1881681104,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1996,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-105.9083382,37.99939078,N,N,8109,Saguache County,Saguache,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-003752,Kunsmiller Creative Arts Academy,2250 S Quitman Way,Denver,CO,80219-5139,720-424-0156,www.denverhealth.org,40,2,School,1,Active,,1386714095,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,8/1/2006,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-105.0405927,39.67569035,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-003864,Health Outreach Program,2111 Champa St,Denver,CO,80205-2529,303-293-2220,www.coloradocoalition.org,50,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,10/1/2002,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.9876868,39.75138108,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-033550,Clinica Family Health - Pecos Administration 3rd Floor,7290 Samuel Dr,Denver,CO,80221-2743,303-650-4460,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/20/2021,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.0078297,39.82892441,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00804,80140,BPS-H80-003884,SUNRISE FAMILY DENTAL CLINIC,1006 A St,Greeley,CO,80631-2021,970-352-0048,sunrisecommunityhealth.org,50,7,All Other Clinic Types,1,Active,,1699073395,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/4/2003,SUNRISE COMMUNITY HEALTH,2930 11th Ave,Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",-104.6953196,40.43504803,N,N,8123,Weld County,Weld,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-039162,Pagosa Springs Comprehensive Primary Care,"27 Talisman Dr, #B",Pagosa Springs,CO,81147-9377,970-335-2422,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/11/2024,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-107.0739718,37.25738908,N,N,8007,Archuleta County,Archuleta,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-032555,Denver Health Primary Care Center,660 Bannock St,Denver,CO,80204-4506,303-436-4949,www.denverhealth.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/3/2021,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9902618,39.72683291,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-004243,Las Animas Clinic and Las Animas Dental Clinic,245 Vine Ave,Las Animas,CO,81054-1039,719-456-2653,www.vwhs.org,55,7,All Other Clinic Types,1,Active,61860,1124015607,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/4/1997,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.22793,38.07074922,N,N,8011,Bent County,Bent,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-012713,"Health Center at Academy, Suite 3300",3207 N Academy Blvd STE 3300,Colorado Springs,CO,80917-5101,719-632-5700,www.peakvista.org,53,7,All Other Clinic Types,1,Active,61067,1760252001,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,7/10/2013,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.7569725,38.878488,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-037702,Durango Integrated Healthcare,150 Mercury Village Dr,Durango,CO,81301-8955,970-335-2288,,54,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/1/2023,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-107.8688878,37.23996817,N,N,8067,La Plata County,La Plata,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-034382,Clinica Family Health - Nederland,80 Big Springs Dr,Nederland,CO,80466-8900,303-650-4460,clinica.org,24,7,All Other Clinic Types,1,Active,,1104579481,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/21/2022,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.5084455,39.95950304,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-014122,Health Center  at Limon,820 1st St,Limon,CO,80828-5008,719-771-7556,www.peakvista.org,40,7,All Other Clinic Types,1,Active,61881,1568881688,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,0,Unknown,4/30/2014,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-103.686867,39.26084591,N,N,8073,Lincoln County,Lincoln,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-005081,STRIDE CHC  -  Hampden and Chambers,15132 E Hampden Ave STE G,Aurora,CO,80014-5038,303-752-8070,https://stridechc.org,52.5,7,All Other Clinic Types,1,Active,61891,1144489675,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/26/2007,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-104.8123511,39.65297644,N,N,8005,Arapahoe County,Arapahoe,County            ,8,Region 8,8,Colorado,806,6,Colorado District 06,CO-06,Jason Crow,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-019394,Clinica Family Health - Westminster,"8510 Bryant St, Suite 200",Westminster,CO,80031-3845,303-650-4460,clinica.org,49,7,All Other Clinic Types,1,Active,61913,1811279136,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/23/2017,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.0193913,39.85098235,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-012335,Place Bridge Academy,7125 Cherry Creek North Dr,Denver,CO,80224-2044,720-424-2050,,40,2,School,1,Active,,1326311655,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,2,Seasonal,1/25/2013,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9064404,39.68759743,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-009523,Logan Health Center at Myron Stratton,430 Gold Pass Hts,Colorado Spgs,CO,80906-3501,719-632-5700,www.peakvista.org,52.5,7,All Other Clinic Types,1,Active,61914,1396048054,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/16/2010,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-104.8192862,38.79377035,N,N,8041,El Paso County,El Paso,County            ,8,Region 8,8,Colorado,805,5,Colorado District 05,CO-05,Jeff Crank,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-005098,Salud Frederick,5995 Iris Pkwy,Frederick,CO,80504-6412,303-697-2583,www.saludclinic.org,40,7,All Other Clinic Types,1,Active,61809,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1978,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-104.94276,40.11139748,N,N,8123,Weld County,Weld,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00212,81460,BPS-H80-005204,Health Center at Divide,34 Hybrook Rd S,Divide,CO,80814-9219,719-687-4460,www.peakvista.org,52.5,7,All Other Clinic Types,1,Active,61879,1609178524,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,8/25/2005,PEAK VISTA COMMUNITY HEALTH CENTERS,"3205 N Academy Blvd, Ste 130",Colorado Springs,CO,80917-5152,"Corporate Entity, Federal Tax Exempt",-105.1547021,38.94081755,N,N,8119,Teller County,Teller,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-027749,Upper Blue Elementary,1200 Airport Rd,Breckenridge,CO,80424-9444,970-710-5049,,15,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/15/2019,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.048665,39.5001391,N,N,8117,Summit County,Summit,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26510,08E00393,BPS-H80-038260,Axis Health System - Delta,107 W 11th St,Delta,CO,81416-1811,970-252-3200,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/14/2024,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",150 Mercury Village Dr,Durango,CO,81301-8955,"Corporate Entity, Federal Tax Exempt",-108.0712195,38.732561,N,N,8029,Delta County,Delta,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28361,08E00412,BPS-H80-032820,Medical Office Building - Suite 320,360 Peak One Dr,Frisco,CO,80443-5948,970-668-4040,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/2/2021,"SUMMIT COMMUNITY CARE CLINIC, INC.",360 Peak One Dr STE 100,Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",-106.0765929,39.57088941,N,N,8117,Summit County,Summit,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00134,80030,BPS-H80-028367,Valley-Wide Ordway,319 Main St,Ordway,CO,81063-1302,719-267-3503,https://vwhs.org/,44,7,All Other Clinic Types,1,Active,61012,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/16/2019,VALLEY-WIDE HEALTH SYSTEMS,128 Market St,Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",-103.7566217,38.21848593,N,N,8025,Crowley County,Crowley,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00801,80130,BPS-H80-005325,Salud Sterling,1410 S 7th Ave,Sterling,CO,80751-4557,303-697-2583,www.saludclinic.org,40,7,All Other Clinic Types,1,Active,61869,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/2001,"SALUD FAMILY HEALTH, INC.",203 S Rollie Ave,Fort Lupton,CO,80621-1508,"Corporate Entity, Federal Tax Exempt",-103.2214371,40.61177962,N,N,8075,Logan County,Logan,County            ,8,Region 8,8,Colorado,804,4,Colorado District 04,CO-04,Lauren Boebert,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00217,80730,BPS-H80-030201,STRIDE CHC  -   Mobile Health Care Unit,11005 Ralston Rd,Arvada,CO,80004-4551,303-360-6276,https://stridechc.org,3,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/10/2020,METRO COMMUNITY PROVIDER NETWORK INC,7495 W 29th Ave,Wheat Ridge,CO,80033-8002,"Corporate Entity, Federal Tax Exempt",-105.1220074,39.81353276,N,N,8059,Jefferson County,Jefferson,County            ,8,Region 8,8,Colorado,807,7,Colorado District 07,CO-07,Brittany Pettersen,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00692,80170,BPS-H80-007441,GRAND AVENUE HOMELESS CLINIC,1008 N Grand Ave,Pueblo,CO,81003-2916,719-584-3964,http://www.pueblochc.org,30,7,All Other Clinic Types,1,Active,61937,1144589425,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,3/1/1998,PUEBLO COMMUNITY HEALTH CENTER,310 Colorado Ave,Pueblo,CO,81004-2006,"Corporate Entity, Federal Tax Exempt",-104.6116796,38.27655001,N,N,8101,Pueblo County,Pueblo,County            ,8,Region 8,8,Colorado,803,3,Colorado District 03,CO-03,Jeff Hurd,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00040,80620,BPS-H80-008077,The Renaissance Village 88,388 E 88th Ave,Thornton,CO,80229-4430,303-430-0157,www.coloradocoalition.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,1,Year-Round,5/28/2008,THE COLORADO COALITION FOR THE HOMELESS,2111 Champa St,Denver,CO,80205-2529,"Corporate Entity, Federal Tax Exempt",-104.9817621,39.85604133,N,N,8001,Adams County,Adams,County            ,8,Region 8,8,Colorado,808,8,Colorado District 08,CO-08,Gabe Evans,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00218,80060,BPS-H80-027984,East High School-Based Health Center,1600 City Park Esplanade,Denver,CO,80206-1429,720-423-8378,denverhealth.org,40,2,School,1,Active,,1376197400,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/3/2019,Denver Health and Hospital Authority,777 Bannock St,Denver,CO,80204-4507,U.S. Government Entity,-104.9566915,39.74160526,N,N,8031,Denver County,Denver,County            ,8,Region 8,8,Colorado,801,1,Colorado District 01,CO-01,Diana DeGette,Michael F. Bennet,John W. Hickenlooper,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00690,81650,BPS-H80-039441,Clinica Family Health & Wellness -- Norton Center for Behavioral Medicine,975 North St,Boulder,CO,80304-3279,303-650-4460,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/1/2024,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,1735 S Public Rd,Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",-105.284044,40.02448347,N,N,8013,Boulder County,Boulder,County            ,8,Region 8,8,Colorado,802,2,Colorado District 02,CO-02,Joe Neguse,Michael F. Bennet,John W. Hickenlooper,5/6/2025
